"","type","model","value"
"742","Real","model1",0.684210526315789
"743","Real","model1",0.434920634920635
"744","Real","model1",0.494983277591973
"745","Real","model1",0.442724458204334
"746","Real","model1",0.56875
"747","Real","model1",0.521604938271605
"748","Real","model1",0.590476190476191
"749","Real","model1",0.452012383900929
"750","Real","model1",0.471875
"751","Real","model1",0.551839464882943
"752","Real","model1",0.619047619047619
"753","Real","model1",0.54320987654321
"754","Real","model1",0.469135802469136
"755","Real","model1",0.613003095975232
"756","Real","model1",0.682274247491639
"757","Real","model1",0.542207792207792
"758","Real","model1",0.578947368421052
"759","Real","model1",0.570987654320988
"760","Real","model1",0.711038961038961
"761","Real","model1",0.582043343653251
"762","Real","model1",0.594427244582043
"763","Real","model1",0.538699690402477
"764","Real","model1",0.529411764705882
"765","Real","model1",0.631578947368421
"766","Real","model1",0.557275541795666
"767","Real","model1",0.538461538461539
"768","Real","model1",0.553125
"769","Real","model1",0.62987012987013
"770","Real","model1",0.66031746031746
"771","Real","model1",0.450793650793651
"772","Real","model1",0.58125
"773","Real","model1",0.625386996904025
"774","Real","model1",0.671826625386997
"775","Real","model1",0.575851393188854
"776","Real","model1",0.482638888888889
"777","Real","model1",0.558730158730159
"778","Real","model1",0.474025974025974
"779","Real","model1",0.547987616099071
"780","Real","model1",0.646103896103896
"781","Real","model1",0.5375
"782","Real","model1",0.563467492260062
"783","Real","model1",0.5375
"784","Real","model1",0.51875
"785","Real","model1",0.545454545454546
"786","Real","model1",0.518518518518519
"787","Real","model1",0.553125
"788","Real","model1",0.637770897832817
"789","Real","model1",0.721362229102167
"790","Real","model1",0.594155844155844
"791","Real","model1",0.64935064935065
"792","Real","model1",0.538961038961039
"793","Real","model1",0.45679012345679
"794","Real","model1",0.651234567901235
"795","Real","model1",0.520123839009288
"796","Real","model1",0.534375
"797","Real","model1",0.575
"798","Real","model1",0.607272727272727
"799","Real","model1",0.666666666666667
"800","Real","model1",0.503125
"801","Real","model1",0.478395061728395
"802","Real","model1",0.520123839009288
"803","Real","model1",0.644444444444444
"804","Real","model1",0.51702786377709
"805","Real","model1",0.435185185185185
"806","Real","model1",0.560371517027864
"807","Real","model1",0.560371517027864
"808","Real","model1",0.487012987012987
"809","Real","model1",0.477272727272727
"810","Real","model1",0.545454545454545
"811","Real","model1",0.549206349206349
"812","Real","model1",0.444805194805195
"813","Real","model1",0.56656346749226
"814","Real","model1",0.523809523809524
"815","Real","model1",0.575851393188855
"816","Real","model1",0.444444444444444
"817","Real","model1",0.589506172839506
"818","Real","model1",0.561904761904762
"819","Real","model1",0.612698412698413
"820","Real","model1",0.582043343653251
"821","Real","model1",0.603174603174603
"822","Real","model1",0.554179566563467
"823","Real","model1",0.678018575851393
"824","Real","model1",0.676190476190476
"825","Real","model1",0.555555555555556
"826","Real","model1",0.450793650793651
"827","Real","model1",0.438127090301003
"828","Real","model1",0.640866873065015
"829","Real","model1",0.496753246753247
"830","Real","model1",0.53125
"831","Real","model1",0.510835913312693
"832","Real","model1",0.65
"833","Real","model1",0.675
"834","Real","model1",0.537037037037037
"835","Real","model1",0.55625
"836","Real","model1",0.524691358024691
"837","Real","model1",0.638888888888889
"838","Real","model1",0.534375
"839","Real","model1",0.53125
"840","Real","model1",0.59375
"841","Real","model1",0.714285714285715
"842","Real","model1",0.619195046439629
"843","Real","model1",0.516233766233766
"844","Real","model1",0.675324675324675
"845","Real","model1",0.44375
"846","Real","model1",0.528125
